economy,wbcodev2,Region,Income group,reportyr,WBL INDEX,STARTING A JOB,STARTING A JOB,,,,,,,,
Afghanistan,AFG,South Asia,Low income,2018,38.13,0.25,25,,,,,,,,
Albania,ALB,Europe & Central Asia,Upper middle income,2018,91.25,1,100,,,,,,,,
Algeria,DZA,Middle East & North Africa,Upper middle income,2018,57.5,0.75,75,,,,,,,,
Angola,AGO,Sub-Saharan Africa,Lower middle income,2018,76.88,0.5,50,,,,,,,,
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2018,69.38,0.5,50,,,,,,,,
Argentina,ARG,Latin America & Caribbean,Upper middle income,2018,76.25,0.5,50,,,,,,,,
Armenia,ARM,Europe & Central Asia,Lower middle income,2018,83.13,0.75,75,,,,,,,,
Australia,AUS,High income: OECD,High income,2018,96.88,1,100,,,,,,,,
Austria,AUT,High income: OECD,High income,2018,97.5,1,100,,,,,,,,
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2018,78.75,1,100,,,,,,,,
"Bahamas, The",BHS,Latin America & Caribbean,High income,2018,83.75,1,100,,,,,,,,
Bahrain,BHR,Middle East & North Africa,High income,2018,37.5,0.25,25,,,,,,,,
Bangladesh,BGD,South Asia,Lower middle income,2018,49.38,0.25,25,,,,,,,,
Barbados,BRB,Latin America & Caribbean,High income,2018,73.75,0.25,25,,,,,,,,
Belarus,BLR,Europe & Central Asia,Upper middle income,2018,78.75,0.5,50,,,,,,,,
Belgium,BEL,High income: OECD,High income,2018,100,1,100,,,,,,,,
Belize,BLZ,Latin America & Caribbean,Upper middle income,2018,79.38,0.75,75,,,,,,,,
Benin,BEN,Sub-Saharan Africa,Low income,2018,74.38,1,100,,,,,,,,
Bhutan,BTN,South Asia,Lower middle income,2018,69.38,1,100,,,,,,,,
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2018,82.5,0,0,,,,,,,,
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2018,88.13,1,100,,,,,,,,
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2018,60.63,0.25,25,,,,,,,,
Brazil,BRA,Latin America & Caribbean,Upper middle income,2018,81.88,1,100,,,,,,,,
Brunei Darussalam,BRN,East Asia & Pacific,High income,2018,53.13,0.25,25,,,,,,,,
Bulgaria,BGR,Europe & Central Asia,Upper middle income,2018,93.75,1,100,,,,,,,,
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2018,76.88,1,100,,,,,,,,
Burundi,BDI,Sub-Saharan Africa,Low income,2018,73.13,0.5,50,,,,,,,,
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,2018,86.25,1,100,,,,,,,,
Cambodia,KHM,East Asia & Pacific,Lower middle income,2018,75,0.75,75,,,,,,,,
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,2018,56.88,0,0,,,,,,,,
Canada,CAN,High income: OECD,High income,2018,97.5,1,100,,,,,,,,
Central African Republic,CAF,Sub-Saharan Africa,Low income,2018,71.25,0.75,75,,,,,,,,
Chad,TCD,Sub-Saharan Africa,Low income,2018,66.25,0.25,25,,,,,,,,
Chile,CHL,High income: OECD,High income,2018,77.5,0.75,75,,,,,,,,
China,CHN,East Asia & Pacific,Upper middle income,2018,76.25,0.5,50,,,,,,,,
Colombia,COL,Latin America & Caribbean,Upper middle income,2018,85,1,100,,,,,,,,
Comoros,COM,Sub-Saharan Africa,Low income,2018,58.75,0.25,25,,,,,,,,
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,2018,70,0.5,50,,,,,,,,
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,2018,46.25,0.25,25,,,,,,,,
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,2018,80,1,100,,,,,,,,
Côte d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,2018,78.13,0.75,75,,,,,,,,
Croatia,HRV,Europe & Central Asia,Upper middle income,2018,94.38,1,100,,,,,,,,
Cyprus,CYP,Europe & Central Asia,High income,2018,88.75,1,100,,,,,,,,
Czech Republic,CZE,High income: OECD,High income,2018,94.38,1,100,,,,,,,,
Denmark,DNK,High income: OECD,High income,2018,100,1,100,,,,,,,,
Djibouti,DJI,Middle East & North Africa,Lower middle income,2018,59.38,0.5,50,,,,,,,,
Dominica,DMA,Latin America & Caribbean,Upper middle income,2018,62.5,0.25,25,,,,,,,,
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,2018,88.75,1,100,,,,,,,,
Ecuador,ECU,Latin America & Caribbean,Upper middle income,2018,89.38,1,100,,,,,,,,
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2018,50.63,0.5,50,,,,,,,,
El Salvador,SLV,Latin America & Caribbean,Lower middle income,2018,88.75,1,100,,,,,,,,
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,2018,66.25,0.5,50,,,,,,,,
Eritrea,ERI,Sub-Saharan Africa,Low income,2018,71.88,1,100,,,,,,,,
Estonia,EST,High income: OECD,High income,2018,97.5,1,100,,,,,,,,
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2018,63.75,0.5,50,,,,,,,,
Ethiopia,ETH,Sub-Saharan Africa,Low income,2018,71.88,1,100,,,,,,,,
Fiji,FJI,East Asia & Pacific,Upper middle income,2018,74.38,1,100,,,,,,,,
Finland,FIN,High income: OECD,High income,2018,97.5,1,100,,,,,,,,
France,FRA,High income: OECD,High income,2018,100,0.75,75,,,,,,,,
Gabon,GAB,Sub-Saharan Africa,Upper middle income,2018,58.13,0.25,25,,,,,,,,
"Gambia, The",GMB,Sub-Saharan Africa,Low income,2018,74.38,0.25,25,,,,,,,,
Georgia,GEO,Europe & Central Asia,Lower middle income,2018,79.38,0.5,50,,,,,,,,
Germany,DEU,High income: OECD,High income,2018,91.88,1,100,,,,,,,,
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2018,75,1,100,,,,,,,,
Greece,GRC,High income: OECD,High income,2018,97.5,1,100,,,,,,,,
Grenada,GRD,Latin America & Caribbean,Upper middle income,2018,71.88,0.5,50,,,,,,,,
Guatemala,GTM,Latin America & Caribbean,Lower middle income,2018,70.63,0.25,25,,,,,,,,
Guinea,GIN,Sub-Saharan Africa,Low income,2018,68.13,0,0,,,,,,,,
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,2018,36.25,0.25,25,,,,,,,,
Guyana,GUY,Latin America & Caribbean,Upper middle income,2018,86.88,1,100,,,,,,,,
Haiti,HTI,Latin America & Caribbean,Low income,2018,58.13,0.5,50,,,,,,,,
Honduras,HND,Latin America & Caribbean,Lower middle income,2018,75,1,100,,,,,,,,
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,2018,86.25,1,100,,,,,,,,
Hungary,HUN,High income: OECD,High income,2018,93.75,0.75,75,,,,,,,,
Iceland,ISL,High income: OECD,High income,2018,96.88,1,100,,,,,,,,
India,IND,South Asia,Lower middle income,2018,71.25,0.5,50,,,,,,,,
Indonesia,IDN,East Asia & Pacific,Lower middle income,2018,64.38,0.5,50,,,,,,,,
"Iran, Islamic Rep.",IRN,Middle East & North Africa,Upper middle income,2018,31.25,0,0,,,,,,,,
Iraq,IRQ,Middle East & North Africa,Upper middle income,2018,41.88,0.5,50,,,,,,,,
Ireland,IRL,High income: OECD,High income,2018,97.5,1,100,,,,,,,,
Israel,ISR,High income: OECD,High income,2018,80.63,1,100,,,,,,,,
Italy,ITA,High income: OECD,High income,2018,94.38,1,100,,,,,,,,
Jamaica,JAM,Latin America & Caribbean,Upper middle income,2018,68.13,0.25,25,,,,,,,,
Japan,JPN,High income: OECD,High income,2018,79.38,0.5,50,,,,,,,,
Jordan,JOR,Middle East & North Africa,Lower middle income,2018,35,0,0,,,,,,,,
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,2018,75.63,0.5,50,,,,,,,,
Kenya,KEN,Sub-Saharan Africa,Lower middle income,2018,83.75,1,100,,,,,,,,
Kiribati,KIR,East Asia & Pacific,Lower middle income,2018,72.5,0.5,50,,,,,,,,
"Korea, Rep.",KOR,High income: OECD,High income,2018,85,1,100,,,,,,,,
Kosovo,XKX,Europe & Central Asia,Lower middle income,2018,91.88,1,100,,,,,,,,
Kuwait,KWT,Middle East & North Africa,High income,2018,35,0,0,,,,,,,,
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,2018,76.88,0.75,75,,,,,,,,
Lao PDR,LAO,East Asia & Pacific,Lower middle income,2018,88.13,0.5,50,,,,,,,,
Latvia,LVA,Europe & Central Asia,High income,2018,100,1,100,,,,,,,,
LebaNon,LBN,Middle East & North Africa,Upper middle income,2018,58.75,0.5,50,,,,,,,,
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,2018,72.5,0.75,75,,,,,,,,
Liberia,LBR,Sub-Saharan Africa,Low income,2018,75,0.25,25,,,,,,,,
Libya,LBY,Middle East & North Africa,Upper middle income,2018,56.25,0.25,25,,,,,,,,
Lithuania,LTU,Europe & Central Asia,High income,2018,93.75,1,100,,,,,,,,
Luxembourg,LUX,High income: OECD,High income,2018,100,1,100,,,,,,,,
Madagascar,MDG,Sub-Saharan Africa,Low income,2018,71.88,1,100,,,,,,,,
Malawi,MWI,Sub-Saharan Africa,Low income,2018,83.75,0.5,50,,,,,,,,
Malaysia,MYS,East Asia & Pacific,Upper middle income,2018,50,0.25,25,,,,,,,,
Maldives,MDV,South Asia,Upper middle income,2018,73.75,0.5,50,,,,,,,,
Mali,MLI,Sub-Saharan Africa,Low income,2018,54.38,0.25,25,,,,,,,,
Malta,MLT,Middle East & North Africa,High income,2018,91.88,1,100,,,,,,,,
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,2018,58.75,0.25,25,,,,,,,,
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,2018,41.88,0.25,25,,,,,,,,
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,2018,91.88,1,100,,,,,,,,
Mexico,MEX,Latin America & Caribbean,Upper middle income,2018,86.25,0.75,75,,,,,,,,
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,2018,61.25,0.25,25,,,,,,,,
Moldova,MDA,Europe & Central Asia,Lower middle income,2018,84.38,0.5,50,,,,,,,,
Mongolia,MNG,East Asia & Pacific,Lower middle income,2018,83.13,0.5,50,,,,,,,,
Montenegro,MNE,Europe & Central Asia,Upper middle income,2018,81.88,0.5,50,,,,,,,,
Morocco,MAR,Middle East & North Africa,Lower middle income,2018,73.13,1,100,,,,,,,,
Mozambique,MOZ,Sub-Saharan Africa,Low income,2018,76.88,1,100,,,,,,,,
Myanmar,MMR,East Asia & Pacific,Lower middle income,2018,56.25,0.25,25,,,,,,,,
Namibia,NAM,Sub-Saharan Africa,Upper middle income,2018,86.25,1,100,,,,,,,,
Nepal,NPL,South Asia,Low income,2018,53.13,0.25,25,,,,,,,,
Netherlands,NLD,High income: OECD,High income,2018,94.38,1,100,,,,,,,,
New Zealand,NZL,High income: OECD,High income,2018,91.25,1,100,,,,,,,,
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,2018,86.25,1,100,,,,,,,,
Niger,NER,Sub-Saharan Africa,Low income,2018,53.13,0.75,75,,,,,,,,
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,2018,68.75,0.25,25,,,,,,,,
North Macedonia,MKD,Europe & Central Asia,Upper middle income,2018,88.13,0.5,50,,,,,,,,
Norway,NOR,High income: OECD,High income,2018,94.38,0.5,50,,,,,,,,
Oman,OMN,Middle East & North Africa,High income,2018,44.38,1,100,,,,,,,,
Pakistan,PAK,South Asia,Lower middle income,2018,46.25,0.25,25,,,,,,,,
Palau,PLW,East Asia & Pacific,High income,2018,58.75,0.25,25,,,,,,,,
Panama,PAN,Latin America & Caribbean,Upper middle income,2018,79.38,0.75,75,,,,,,,,
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,2018,62.5,0.5,50,,,,,,,,
Paraguay,PRY,Latin America & Caribbean,Upper middle income,2018,94.38,1,100,,,,,,,,
Peru,PER,Latin America & Caribbean,Upper middle income,2018,95,1,100,,,,,,,,
Philippines,PHL,East Asia & Pacific,Lower middle income,2018,81.25,1,100,,,,,,,,
Poland,POL,High income: OECD,High income,2018,93.75,1,100,,,,,,,,
Portugal,PRT,High income: OECD,High income,2018,97.5,1,100,,,,,,,,
Puerto Rico (U.S.),PRI,Latin America & Caribbean,High income,2018,81.25,1,100,,,,,,,,
Qatar,QAT,Middle East & North Africa,High income,2018,32.5,0,0,,,,,,,,
Romania,ROU,Europe & Central Asia,Upper middle income,2018,90.63,1,100,,,,,,,,
Russian Federation,RUS,Europe & Central Asia,Upper middle income,2018,73.13,0.5,50,,,,,,,,
Rwanda,RWA,Sub-Saharan Africa,Low income,2018,80.63,0.5,50,,,,,,,,
Samoa,WSM,East Asia & Pacific,Upper middle income,2018,73.75,0.25,25,,,,,,,,
San MariNo,SMR,Europe & Central Asia,High income,2018,77.5,0.5,50,,,,,,,,
São Tomé and Príncipe,STP,Sub-Saharan Africa,Lower middle income,2018,76.88,0.5,50,,,,,,,,
Saudi Arabia,SAU,Middle East & North Africa,High income,2018,25.63,0.25,25,,,,,,,,
Senegal,SEN,Sub-Saharan Africa,Low income,2018,63.75,0.75,75,,,,,,,,
Serbia,SRB,Europe & Central Asia,Upper middle income,2018,96.88,1,100,,,,,,,,
Seychelles,SYC,Sub-Saharan Africa,High income,2018,76.25,0.5,50,,,,,,,,
Sierra Leone,SLE,Sub-Saharan Africa,Low income,2018,63.13,0.25,25,,,,,,,,
Singapore,SGP,East Asia & Pacific,High income,2018,82.5,0.25,25,,,,,,,,
Slovak Republic,SVK,High income: OECD,High income,2018,94.38,1,100,,,,,,,,
Slovenia,SVN,High income: OECD,High income,2018,90.63,1,100,,,,,,,,
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,2018,56.88,0.25,25,,,,,,,,
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2018,88.13,0.5,50,,,,,,,,
South Sudan,SSD,Sub-Saharan Africa,Low income,2018,45.63,0,,,,,,,,,
Spain,ESP,High income: OECD,High income,2018,97.5,1,100,,,,,,,,
Sri Lanka,LKA,South Asia,Lower middle income,2018,65.63,0.75,75,,,,,,,,
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,2018,68.13,0.25,25,,,,,,,,
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,2018,89.38,1,100,,,,,,,,
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,2018,68.13,0.25,25,,,,,,,,
Sudan,SDN,Sub-Saharan Africa,Lower middle income,2018,29.38,0,0,,,,,,,,
Suriname,SUR,Latin America & Caribbean,Upper middle income,2018,65.63,0.25,25,,,,,,,,
Sweden,SWE,High income: OECD,High income,2018,100,1,100,,,,,,,,
Switzerland,CHE,High income: OECD,High income,2018,82.5,1,100,,,,,,,,
Syrian Arab Republic,SYR,Middle East & North Africa,Lower middle income,2018,34.38,0,0,,,,,,,,
"Taiwan, China",TWN,East Asia & Pacific,High income,2018,91.25,1,100,,,,,,,,
Tajikistan,TJK,Europe & Central Asia,Lower middle income,2018,81.88,0.5,50,,,,,,,,
Tanzania,TZA,Sub-Saharan Africa,Low income,2018,84.38,1,100,,,,,,,,
Thailand,THA,East Asia & Pacific,Upper middle income,2018,75,1,100,,,,,,,,
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,2018,80,0.75,75,,,,,,,,
Togo,TGO,Sub-Saharan Africa,Low income,2018,84.38,0.75,75,,,,,,,,
Tonga,TON,East Asia & Pacific,Upper middle income,2018,58.75,0.25,25,,,,,,,,
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,2018,77.5,0.5,50,,,,,,,,
Tunisia,TUN,Middle East & North Africa,Lower middle income,2018,58.75,0.5,50,,,,,,,,
Turkey,TUR,Europe & Central Asia,Upper middle income,2018,79.38,0.5,50,,,,,,,,
Uganda,UGA,Sub-Saharan Africa,Low income,2018,73.13,1,100,,,,,,,,
Ukraine,UKR,Europe & Central Asia,Lower middle income,2018,78.75,1,100,,,,,,,,
United Arab Emirates,ARE,Middle East & North Africa,High income,2018,29.38,0,0,,,,,,,,
United Kingdom,GBR,High income: OECD,High income,2018,97.5,1,100,,,,,,,,
United States,USA,High income: OECD,High income,2018,83.75,1,100,,,,,,,,
Uruguay,URY,Latin America & Caribbean,High income,2018,88.75,0.5,50,,,,,,,,
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,2018,70.63,0.5,50,,,,,,,,
Vanuatu,VUT,East Asia & Pacific,Lower middle income,2018,66.25,0.25,25,,,,,,,,
Vietnam,VNM,East Asia & Pacific,Lower middle income,2018,81.88,0.5,50,,,,,,,,
